ID,Eavg,Mavg,NumCoCurri,DaysAbsent,OverallAvg,H_inc
1,76,54,0,40,58,743275
5,62,78,0,18,58,472992
6,56,75,0,43,46,91972
7,63,71,0,26,64,33107
8,82,54,0,7,65,299930
11,80,79,0,87,54,664964
13,75,88,2,26,73,287070
14,35,24,2,58,43,651654
16,69,36,0,20,55,524341
17,77,82,0,12,70,184952
18,64,69,2,16,69,967655
19,66,45,0,22,49,227434
23,63,40,0,25,52,380714
24,66,42,0,28,55,734852
25,56,75,2,44,55,75274
26,63,75,0,70,61,245650
27,55,29,0,31,52,604876
28,73,55,0,16,56,959879
29,63,54,2,7,70,140922
30,18,,0,161,17,657421
32,62,51,2,24,50,36473
33,61,48,2,11,56,862987
34,45,50,0,13,50,925800
36,46,72,0,52,52,386103
37,87,76,2,4,77,577037
39,57,47,2,88,49,589945
40,62,15,0,74,35,738723
41,69,66,0,11,60,52354
42,68,92,0,26,72,295915
43,61,20,0,42,38,585651
44,45,36,0,44,43,150008
45,75,85,0,2,76,159982
47,72,30,2,15,60,
51,75,75,0,74,64,567738
52,73,100,0,13,86,575742
56,64,69,0,30,60,203853
59,20,,0,98,10,754878
61,81,85,0,13,79,17038
62,57,38,0,13,46,539239
64,70,57,0,54,60,210717
65,59,39,0,44,42,492587
66,85,84,0,19,79,785715
67,57,61,0,51,59,765215
69,69,28,0,44,48,640936
70,72,16,0,20,43,688972
71,60,36,0,51,50,867275
72,62,37,0,66,39,977318
73,63,46,0,85,43,133551
74,63,69,0,10,53,
75,71,47,0,29,67,80545
77,66,34,0,17,53,943087
78,63,47,0,0,50,724846
79,65,21,0,48,56,348970
81,81,71,0,100,71,364222
83,79,76,0,11,65,442565
84,65,74,0,24,63,626828
85,59,33,0,10,47,622902
86,72,58,2,29,60,52997
88,43,61,0,88,34,798088
89,67,47,0,24,64,511050
90,55,55,0,50,44,656190
92,52,20,0,127,52,881906
93,74,65,0,6,59,747052
94,69,61,0,15,65,359021
95,52,87,0,42,62,639974
96,78,62,0,31,62,
98,59,41,0,14,48,672243
99,60,50,0,82,41,995340
103,60,81,0,10,64,644823
104,54,56,0,92,50,38006
106,68,87,2,2,73,699604
108,68,42,0,35,52,100164
110,60,26,0,36,57,146792
111,56,54,0,39,47,442621
112,69,66,0,12,62,679159
113,70,66,0,18,69,536283
117,27,34,0,51,33,669626
120,68,91,2,17,64,434444
121,25,29,0,25,27,
123,89,90,2,22,90,148354
124,72,78,0,31,62,452659
125,78,77,0,21,62,906076
127,70,55,0,58,64,586355
128,75,65,0,49,61,566043
129,61,55,0,25,57,742679
132,71,30,0,2,61,254484
133,84,36,0,46,43,39333
134,75,94,2,3,84,318115
135,43,50,0,56,49,937401
136,71,67,0,44,62,120823
137,44,44,0,59,39,552211
138,76,75,4,82,69,
140,63,60,0,6,51,787392
141,52,27,2,19,44,160121
142,29,13,0,97,34,803639
143,69,55,0,0,68,383063
145,77,92,0,6,74,860956
146,60,51,0,27,52,325301
147,69,77,0,18,72,519257
148,71,57,0,24,69,693609
149,86,74,0,24,75,838093
151,67,41,0,50,49,494857
152,48,25,0,24,37,517255
156,53,30,0,50,42,666350
157,67,74,0,7,66,218019
159,34,28,0,87,35,277713
160,75,69,2,22,61,
161,71,28,0,44,46,158837
162,71,39,2,36,44,373867
163,76,83,0,21,66,317213
164,75,82,0,13,65,427682
165,34,,0,77,30,525555
168,66,34,0,60,50,430214
